date,team1,team2,score1,score2,winner
2024-12-22T18:00Z,CIN,CLE,24,6,1
2024-12-22T18:00Z,IND,TEN,38,30,1
2024-12-22T18:00Z,NYJ,LAR,9,19,0
2024-12-22T18:00Z,WSH,PHI,36,33,1
2024-12-22T18:00Z,CAR,ARI,36,30,1
2024-12-22T21:05Z,SEA,MIN,24,27,0
2024-12-22T21:25Z,BUF,NE,24,21,1
2024-12-22T21:25Z,MIA,SF,29,17,1
2024-12-23T01:20Z,DAL,TB,26,24,1
2024-12-24T01:15Z,GB,NO,34,0,1
2024-12-25T18:00Z,PIT,KC,10,29,0
2024-12-25T21:30Z,HOU,BAL,2,31,0
2024-12-27T01:15Z,CHI,SEA,3,6,0
2024-12-28T18:00Z,NE,LAC,7,40,0
2024-12-28T21:30Z,CIN,DEN,30,24,1
2024-12-29T01:00Z,LAR,ARI,13,9,1
2024-12-29T18:00Z,BUF,NYJ,40,14,1
2024-12-29T18:00Z,NYG,IND,45,33,1
2024-12-29T18:00Z,PHI,DAL,41,7,1
2024-12-29T18:00Z,TB,CAR,48,14,1
2024-12-29T18:00Z,JAX,TEN,20,13,1
2024-12-29T21:05Z,CLE,MIA,3,20,0
2024-12-29T21:25Z,MIN,GB,27,25,1
2024-12-30T01:20Z,WSH,ATL,30,24,1
2024-12-31T01:15Z,SF,DET,34,40,0
2025-01-04T21:30Z,BAL,CLE,35,10,1
2025-01-05T01:00Z,PIT,CIN,17,19,0
2025-01-05T18:00Z,ATL,CAR,38,44,0
2025-01-05T18:00Z,DAL,WSH,19,23,0
2025-01-05T18:00Z,GB,CHI,22,24,0
2025-01-05T18:00Z,TEN,HOU,14,23,0
2025-01-05T18:00Z,IND,JAX,26,23,1
2025-01-05T18:00Z,NE,BUF,23,16,1
2025-01-05T18:00Z,PHI,NYG,20,13,1
2025-01-05T18:00Z,TB,NO,27,19,1
2025-01-05T21:25Z,DEN,KC,38,0,1
2025-01-05T21:25Z,LAR,SEA,25,30,0
2025-01-05T21:25Z,NYJ,MIA,32,20,1
2025-01-05T21:25Z,ARI,SF,47,24,1
2025-01-06T01:20Z,DET,MIN,31,9,1
2025-01-11T21:30Z,HOU,LAC,32,12,1
2025-01-12T01:00Z,BAL,PIT,28,14,1
2025-01-12T18:00Z,BUF,DEN,31,7,1
2025-01-12T21:30Z,PHI,GB,22,10,1
2025-01-13T01:00Z,TB,WSH,20,23,0
2025-01-14T01:00Z,LAR,MIN,27,9,1
2025-01-18T21:30Z,KC,HOU,23,14,1
2025-01-19T01:00Z,DET,WSH,31,45,0
2025-01-19T20:00Z,PHI,LAR,28,22,1
2025-01-19T23:30Z,BUF,BAL,27,25,1
2025-01-26T20:00Z,PHI,WSH,55,23,1
2025-01-26T23:30Z,KC,BUF,32,29,1
2025-02-09T23:30Z,PHI,KC,40,22,1
